lambda_plus_mult,universe,estimator,allocator,window,frequency,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
0.900000,us_sector_etf,rmt_soft,risk_parity,252,monthly,10.000000,median_bulk,0.457923,0.454899,0.046306,0.114564,0.178728,0.261134,0.029358,16.000000,1.763550,15.494757
0.900000,us_sector_etf,rmt_soft,hrp,252,monthly,10.000000,median_bulk,0.267319,0.259213,0.021654,0.104175,0.210508,0.106985,0.071047,9.147582,1.736334,3.648452
0.900000,us_sector_etf,rmt_soft,max_diversification,252,monthly,10.000000,median_bulk,0.385109,0.374054,0.031866,0.096808,0.163989,0.201102,0.090324,5.521774,1.992280,4.141224
1.000000,us_sector_etf,sample,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
1.000000,us_sector_etf,sample,inverse_variance,252,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
1.000000,us_sector_etf,sample,minimum_variance,252,monthly,10.000000,median_bulk,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
1.000000,us_sector_etf,sample,risk_parity,252,monthly,10.000000,median_bulk,0.457905,0.454877,0.046300,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.476710
1.000000,us_sector_etf,sample,hrp,252,monthly,10.000000,median_bulk,0.261403,0.253255,0.021001,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.565846
1.000000,us_sector_etf,sample,max_diversification,252,monthly,10.000000,median_bulk,0.380793,0.369596,0.031211,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.064003
1.000000,us_sector_etf,rmt_hard,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755473,1.403608,30.446443
1.000000,us_sector_etf,rmt_hard,inverse_variance,252,monthly,10.000000,median_bulk,0.360213,0.356878,0.036018,0.120595,0.194769,0.187087,0.034118,14.287113,1.677486,10.460203
1.000000,us_sector_etf,rmt_hard,minimum_variance,252,monthly,10.000000,median_bulk,0.325019,0.318401,0.028450,0.106402,0.173133,0.168574,0.060202,5.175349,1.842153,5.288840
1.000000,us_sector_etf,rmt_hard,risk_parity,252,monthly,10.000000,median_bulk,0.458081,0.455051,0.046321,0.114553,0.178625,0.261370,0.029402,16.000000,1.757374,15.476692
1.000000,us_sector_etf,rmt_hard,hrp,252,monthly,10.000000,median_bulk,0.278358,0.269514,0.022882,0.105011,0.210231,0.113387,0.078214,9.233026,1.727118,3.445853
1.000000,us_sector_etf,rmt_hard,max_diversification,252,monthly,10.000000,median_bulk,0.381131,0.369473,0.031435,0.096889,0.160519,0.203143,0.095182,5.396956,1.992306,3.881770
1.000000,us_sector_etf,rmt_soft,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755020,1.411335,30.446443
1.000000,us_sector_etf,rmt_soft,inverse_variance,252,monthly,10.000000,median_bulk,0.361200,0.357915,0.036016,0.120013,0.193192,0.188559,0.033432,14.296103,1.688007,10.705681
1.000000,us_sector_etf,rmt_soft,minimum_variance,252,monthly,10.000000,median_bulk,0.331070,0.324704,0.028922,0.105367,0.174027,0.170215,0.057170,5.245282,1.842690,5.679591
1.000000,us_sector_etf,rmt_soft,risk_parity,252,monthly,10.000000,median_bulk,0.457923,0.454899,0.046305,0.114562,0.178716,0.261148,0.029361,16.000000,1.764388,15.493269
1.000000,us_sector_etf,rmt_soft,hrp,252,monthly,10.000000,median_bulk,0.257787,0.249683,0.020658,0.104289,0.213509,0.100817,0.071286,9.144316,1.737238,3.502530
1.000000,us_sector_etf,rmt_soft,max_diversification,252,monthly,10.000000,median_bulk,0.382501,0.371160,0.031563,0.096753,0.163538,0.199969,0.092460,5.536094,1.992488,4.014293
