window,universe,estimator,allocator,frequency,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
252,us_sector_etf,sample,max_diversification,monthly,10.000000,median_bulk,0.380793,0.369596,0.031211,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.064003
252,us_sector_etf,ledoit_wolf,equal_weight,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.783246,1.435755,30.446443
252,us_sector_etf,ledoit_wolf,inverse_variance,monthly,10.000000,median_bulk,0.476187,0.473390,0.052943,0.126882,0.198953,0.268019,0.030448,14.324762,1.669094,15.547718
252,us_sector_etf,ledoit_wolf,minimum_variance,monthly,10.000000,median_bulk,0.343222,0.337042,0.030295,0.105498,0.174512,0.177500,0.055529,5.494402,1.884278,6.069615
252,us_sector_etf,ledoit_wolf,risk_parity,monthly,10.000000,median_bulk,0.500901,0.498167,0.053234,0.118933,0.178823,0.299624,0.027602,16.000000,1.788891,18.048556
252,us_sector_etf,ledoit_wolf,hrp,monthly,10.000000,median_bulk,0.357647,0.349794,0.032744,0.109903,0.183810,0.183002,0.072332,10.126961,1.780737,4.835919
252,us_sector_etf,ledoit_wolf,max_diversification,monthly,10.000000,median_bulk,0.398655,0.390130,0.035693,0.104318,0.160216,0.228582,0.075296,6.188832,2.012163,5.181264
252,us_sector_etf,constant_corr,equal_weight,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.775402,1.406074,30.446443
252,us_sector_etf,constant_corr,inverse_variance,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.281139,1.676448,10.988413
252,us_sector_etf,constant_corr,minimum_variance,monthly,10.000000,median_bulk,0.326421,0.320008,0.028370,0.105139,0.174781,0.166339,0.057452,5.263357,1.830250,5.569988
252,us_sector_etf,constant_corr,risk_parity,monthly,10.000000,median_bulk,0.458295,0.455280,0.046482,0.114935,0.178790,0.262027,0.029344,16.000000,1.750906,15.515454
252,us_sector_etf,constant_corr,hrp,monthly,10.000000,median_bulk,0.257192,0.249202,0.020623,0.104380,0.215209,0.099794,0.069879,9.114945,1.724388,3.566195
252,us_sector_etf,constant_corr,max_diversification,monthly,10.000000,median_bulk,0.382239,0.371250,0.031705,0.097198,0.166116,0.197555,0.090276,5.422083,1.980820,4.112398
252,us_sector_etf,rmt_hard,equal_weight,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755473,1.403608,30.446443
252,us_sector_etf,rmt_hard,inverse_variance,monthly,10.000000,median_bulk,0.360213,0.356878,0.036018,0.120595,0.194769,0.187087,0.034118,14.287113,1.677486,10.460203
252,us_sector_etf,rmt_hard,minimum_variance,monthly,10.000000,median_bulk,0.325019,0.318401,0.028450,0.106402,0.173133,0.168574,0.060202,5.175349,1.842153,5.288840
252,us_sector_etf,rmt_hard,risk_parity,monthly,10.000000,median_bulk,0.458081,0.455051,0.046321,0.114553,0.178625,0.261370,0.029402,16.000000,1.757374,15.476692
252,us_sector_etf,rmt_hard,hrp,monthly,10.000000,median_bulk,0.278358,0.269514,0.022882,0.105011,0.210231,0.113387,0.078214,9.233026,1.727118,3.445853
252,us_sector_etf,rmt_hard,max_diversification,monthly,10.000000,median_bulk,0.381131,0.369473,0.031435,0.096889,0.160519,0.203143,0.095182,5.396956,1.992306,3.881770
252,us_sector_etf,rmt_soft,equal_weight,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755020,1.411335,30.446443
252,us_sector_etf,rmt_soft,inverse_variance,monthly,10.000000,median_bulk,0.361200,0.357915,0.036016,0.120013,0.193192,0.188559,0.033432,14.296103,1.688007,10.705681
252,us_sector_etf,rmt_soft,minimum_variance,monthly,10.000000,median_bulk,0.331070,0.324704,0.028922,0.105367,0.174027,0.170215,0.057170,5.245282,1.842690,5.679591
252,us_sector_etf,rmt_soft,risk_parity,monthly,10.000000,median_bulk,0.457923,0.454899,0.046305,0.114562,0.178716,0.261148,0.029361,16.000000,1.764388,15.493269
252,us_sector_etf,rmt_soft,hrp,monthly,10.000000,median_bulk,0.257787,0.249683,0.020658,0.104289,0.213509,0.100817,0.071286,9.144316,1.737238,3.502530
252,us_sector_etf,rmt_soft,max_diversification,monthly,10.000000,median_bulk,0.382501,0.371160,0.031563,0.096753,0.163538,0.199969,0.092460,5.536094,1.992488,4.014293
252,us_sector_etf,rmt_rie,equal_weight,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.756594,1.439244,30.446443
252,us_sector_etf,rmt_rie,inverse_variance,monthly,10.000000,median_bulk,0.364592,0.361297,0.036130,0.118651,0.188095,0.194256,0.033114,14.217968,1.714996,10.910817
252,us_sector_etf,rmt_rie,minimum_variance,monthly,10.000000,median_bulk,0.308419,0.301971,0.026493,0.105464,0.179499,0.151534,0.057859,5.416796,1.863382,5.219095
252,us_sector_etf,rmt_rie,risk_parity,monthly,10.000000,median_bulk,0.454272,0.451257,0.046023,0.114998,0.180069,0.257617,0.029351,16.000000,1.790534,15.374766
252,us_sector_etf,rmt_rie,hrp,monthly,10.000000,median_bulk,0.257987,0.249946,0.020614,0.103706,0.210205,0.102123,0.069747,9.073136,1.759708,3.583593
252,us_sector_etf,rmt_rie,max_diversification,monthly,10.000000,median_bulk,0.382505,0.371661,0.032218,0.098866,0.168011,0.198391,0.090357,5.935737,2.008388,4.113247
252,us_sector_etf,factor_model,equal_weight,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.737695,1.391222,30.446443
252,us_sector_etf,factor_model,inverse_variance,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,13.709883,1.700450,10.988413
252,us_sector_etf,factor_model,minimum_variance,monthly,10.000000,median_bulk,0.391896,0.384057,0.034085,0.100735,0.169284,0.206237,0.067090,4.983953,2.027620,5.724485
252,us_sector_etf,factor_model,risk_parity,monthly,10.000000,median_bulk,0.428935,0.425542,0.041241,0.109548,0.180261,0.230946,0.031364,16.000000,1.889860,13.567769
252,us_sector_etf,factor_model,hrp,monthly,10.000000,median_bulk,0.215847,0.207300,0.015916,0.101487,0.214881,0.078182,0.072787,8.627401,1.784311,2.848048
252,us_sector_etf,factor_model,max_diversification,monthly,10.000000,median_bulk,0.307681,0.299775,0.022629,0.087640,0.155539,0.150072,0.058327,4.783840,2.310492,5.139548
500,us_sector_etf,sample,equal_weight,monthly,10.000000,median_bulk,0.888864,0.886820,0.105883,0.122270,0.180522,0.588132,0.022029,12.974791,1.360998,40.257720
500,us_sector_etf,sample,inverse_variance,monthly,10.000000,median_bulk,0.471717,0.468666,0.039851,0.092560,0.186731,0.215017,0.024173,14.661204,1.640530,19.388217
500,us_sector_etf,sample,minimum_variance,monthly,10.000000,median_bulk,0.411536,0.406633,0.030075,0.080946,0.171274,0.178023,0.033861,5.101308,1.755602,12.008896
500,us_sector_etf,sample,risk_parity,monthly,10.000000,median_bulk,0.513158,0.510183,0.045129,0.095521,0.193962,0.234226,0.024285,16.000000,1.706130,21.007896
500,us_sector_etf,sample,hrp,monthly,10.000000,median_bulk,0.293038,0.285840,0.020509,0.083019,0.186508,0.113263,0.050509,9.320494,1.707492,5.659204
500,us_sector_etf,sample,max_diversification,monthly,10.000000,median_bulk,0.351761,0.343047,0.025918,0.085147,0.203593,0.131020,0.061477,5.569275,1.907865,5.580132
